날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2021-05-04,0,0,0,0,0,0,182400,652800,1344000,2006400,5193600,2150400,2208000,969600,950400,710400,336000,115200,9600,0,0,0,0,0
2021-05-05,0,0,0,0,0,0,576000,2620800,5750400,8112000,9648000,10684800,11126400,10828800,9916800,8313600,5952000,3043200,480000,48000,0,0,0,0
2021-05-06,0,0,0,0,0,0,681600,2908800,5788800,8044800,8553600,7977600,6614400,6201600,6652800,3628800,1881600,969600,508800,9600,0,0,0,0
2021-05-07,0,0,0,0,0,0,518400,2476800,4732800,6921600,5923200,2400000,3350400,1267200,2918400,6355200,4838400,2457600,691200,9600,0,0,0,0
2021-05-08,0,0,0,0,0,9600,835200,2784000,5126400,7276800,8496000,9849600,9024000,9091200,5443200,3129600,1420800,652800,326400,9600,0,0,0,0
2021-05-09,0,0,0,0,0,0,720000,2880000,5500800,7718400,9302400,10118400,10483200,10147200,9369600,7756800,5424000,2755200,777600,28800,0,0,0,0
2021-05-10,0,0,0,0,0,0,182400,1104000,2726400,5308800,3427200,6144000,7593600,5760000,3417600,3100800,2611200,1392000,720000,38400,0,0,0,0
2021-05-11,0,0,0,0,0,0,537600,2006400,3628800,4857600,5433600,5059200,4512000,3772800,2889600,2918400,2102400,931200,259200,0,0,0,0,0
2021-05-12,0,0,0,0,0,0,576000,2659200,5366400,7555200,9024000,9811200,10012800,9139200,8611200,5462400,5001600,2688000,777600,28800,0,0,0,0
2021-05-13,0,0,0,0,0,28800,691200,2572800,5184000,7276800,8601600,9897600,10281600,9916800,9187200,7372800,4992000,1718400,652800,38400,0,0,0,0
2021-05-14,0,0,0,0,0,0,691200,2083200,3830400,5712000,7123200,7584000,7382400,5788800,4905600,4627200,2361600,1516800,384000,19200,0,0,0,0
2021-05-15,0,0,0,0,0,0,38400,230400,1526400,2659200,1833600,1977600,1814400,4512000,5222400,4656000,3062400,307200,86400,0,0,0,0,0
2021-05-16,0,0,0,0,0,0,28800,787200,921600,259200,604800,2697600,2102400,2227200,643200,585600,249600,28800,0,0,0,0,0,0
2021-05-17,0,0,0,0,0,0,144000,662400,1334400,2304000,1708800,979200,1574400,3446400,5136000,2870400,2649600,1036800,729600,9600,0,0,0,0
2021-05-18,0,0,0,0,0,0,307200,940800,2841600,4627200,8064000,6403200,10156800,9974400,9705600,8188800,5750400,3216000,1017600,67200,0,0,0,0
2021-05-19,0,0,0,0,0,28800,681600,2899200,5827200,8044800,9302400,10080000,9542400,8486400,7065600,6172800,3955200,2256000,624000,38400,0,0,0,0
2021-05-20,0,0,0,0,0,0,28800,384000,739200,1296000,1526400,1382400,1756800,1555200,1440000,1296000,940800,537600,326400,0,0,0,0,0
2021-05-21,0,0,0,0,0,9600,518400,2620800,4531200,7843200,9926400,10540800,10992000,10425600,9744000,8073600,5875200,3062400,633600,67200,0,0,0,0
2021-05-22,0,0,0,0,0,19200,777600,2582400,5404800,7670400,9264000,10329600,10761600,10377600,9456000,7862400,5644800,2985600,902400,67200,0,0,0,0
2021-05-23,0,0,0,0,0,57600,796800,2832000,4809600,6700800,9446400,9100800,9628800,9955200,9100800,7171200,3024000,1411200,556800,38400,0,0,0,0
2021-05-24,0,0,0,0,0,0,345600,1651200,2534400,6480000,9302400,10531200,9907200,9235200,9667200,8073600,5865600,3456000,1372800,76800,0,0,0,0
2021-05-25,0,0,0,0,0,19200,748800,1344000,1555200,4454400,8908800,10771200,11462400,11212800,10166400,8284800,5251200,3331200,1094400,76800,0,0,0,0
2021-05-26,0,0,0,0,0,9600,307200,1363200,2524800,5184000,6441600,5385600,2496000,3523200,3667200,2352000,1228800,681600,220800,0,0,0,0,0
2021-05-27,0,0,0,0,0,9600,249600,412800,988800,1507200,3014400,5760000,6364800,6931200,5366400,6662400,5721600,3148800,902400,76800,0,0,0,0
2021-05-28,0,0,0,0,0,38400,777600,2428800,2505600,6240000,5443200,1737600,585600,1113600,8150400,7968000,5952000,3283200,854400,76800,0,0,0,0
2021-05-29,0,0,0,0,0,38400,672000,2678400,5587200,7804800,9254400,10022400,10358400,10233600,9340800,7785600,5558400,3033600,902400,86400,0,0,0,0
2021-05-30,0,0,0,0,0,38400,748800,2265600,5232000,7353600,8832000,9734400,10060800,9840000,8908800,7459200,5347200,2822400,854400,67200,0,0,0,0
2021-05-31,0,0,0,0,0,28800,681600,2524800,5107200,7190400,8764800,9696000,9916800,9619200,8726400,7392000,5347200,2928000,873600,86400,0,0,0,0
2021-06-01,0,0,0,0,0,48000,796800,2553600,4924800,6384000,7833600,9974400,9868800,9734400,7968000,6662400,5558400,2947200,873600,96000,0,0,0,0
2021-06-02,0,0,0,0,0,9600,537600,1881600,2611200,5817600,7449600,9264000,6614400,6624000,5107200,4963200,4454400,2995200,844800,76800,0,0,0,0
2021-06-03,0,0,0,0,0,0,76800,460800,1104000,1382400,1430400,1353600,2236800,1248000,1478400,854400,700800,355200,134400,0,0,0,0,0
2021-06-04,0,0,0,0,0,19200,672000,2995200,6153600,8275200,9523200,10070400,10579200,10684800,8841600,8409600,6307200,3148800,1180800,172800,0,0,0,0
2021-06-05,0,0,0,0,0,38400,556800,1171200,2035200,3052800,5308800,7660800,8025600,9052800,8860800,7420800,5424000,3024000,1142400,124800,0,0,0,0
2021-06-06,0,0,0,0,0,57600,710400,2467200,5011200,7190400,8620800,9264000,8294400,6835200,8390400,6960000,5020800,2764800,864000,96000,0,0,0,0
2021-06-07,0,0,0,0,0,48000,720000,2448000,4848000,6864000,7612800,4569600,4560000,7382400,7123200,6547200,4732800,2716800,998400,86400,0,0,0,0
2021-06-08,0,0,0,0,0,67200,1094400,2611200,5241600,7344000,8236800,9552000,9792000,9484800,7651200,6336000,4953600,2793600,1084800,124800,0,0,0,0
2021-06-09,0,0,0,0,0,28800,643200,2688000,5222400,7142400,8822400,9600000,9955200,9379200,8188800,6432000,4032000,3360000,902400,86400,0,0,0,0
2021-06-10,0,0,0,0,0,9600,748800,2524800,2707200,3187200,3840000,3340800,3542400,3139200,2659200,1699200,643200,268800,192000,0,0,0,0,0
2021-06-11,0,0,0,0,0,0,288000,835200,1872000,3139200,6835200,6374400,6960000,9072000,8918400,7555200,5635200,3168000,1209600,105600,0,0,0,0
2021-06-12,0,0,0,0,0,48000,825600,2419200,3878400,5452800,5548800,8188800,9532800,7958400,8563200,5347200,4761600,2976000,1123200,172800,0,0,0,0
2021-06-13,0,0,0,0,0,0,384000,1027200,3532800,6969600,8044800,9033600,9388800,9148800,8304000,6480000,5097600,2832000,969600,134400,0,0,0,0
2021-06-14,0,0,0,0,0,0,355200,1948800,3715200,5606400,4329600,2860800,7036800,7113600,5078400,3369600,3196800,2323200,979200,153600,0,0,0,0
2021-06-15,0,0,0,0,0,0,134400,355200,566400,940800,1824000,1862400,2227200,2304000,1152000,950400,595200,614400,470400,9600,0,0,0,0
2021-06-16,0,0,0,0,0,19200,796800,2908800,4742400,5059200,8582400,8294400,7238400,7833600,4444800,3667200,2870400,422400,153600,0,0,0,0,0
2021-06-17,0,0,0,0,0,0,374400,1987200,4579200,7392000,3734400,2496000,7123200,3868800,3321600,3302400,691200,172800,124800,19200,0,0,0,0
2021-06-18,0,0,0,0,0,0,67200,326400,547200,1027200,3225600,3465600,5308800,3206400,3840000,2793600,1641600,998400,499200,38400,0,0,0,0
2021-06-19,0,0,0,0,0,48000,787200,2371200,5059200,6825600,8179200,10051200,10358400,10176000,9024000,7756800,5740800,3216000,1027200,144000,0,0,0,0
2021-06-20,0,0,0,0,0,28800,643200,2380800,3715200,6787200,7996800,9628800,8697600,9571200,9206400,7267200,4108800,2956800,1065600,240000,0,0,0,0
2021-06-21,0,0,0,0,0,0,595200,1881600,4896000,6892800,7670400,6931200,8976000,7257600,6307200,6748800,5308800,3062400,1334400,105600,0,0,0,0
2021-06-22,0,0,0,0,0,28800,604800,2246400,4771200,6844800,8592000,9465600,9321600,9302400,8524800,5548800,4348800,2073600,1075200,96000,0,0,0,0
2021-06-23,0,0,0,0,0,28800,777600,2294400,2476800,4233600,3993600,7632000,8956800,9379200,8659200,6096000,5308800,2246400,1056000,144000,0,0,0,0
2021-06-24,0,0,0,0,0,48000,1113600,1276800,3619200,6979200,7008000,6508800,4723200,3667200,2764800,2486400,2131200,2112000,912000,220800,0,0,0,0
2021-06-25,0,0,0,0,0,28800,672000,2313600,4771200,7113600,8649600,9158400,9638400,9110400,8467200,6960000,4176000,2188800,902400,86400,0,0,0,0
